aX,aY,aZ
0.307,-0.725,0.324
0.382,-0.761,0.196
0.41,-0.821,0.143
0.393,-0.852,0.142
0.377,-0.828,0.182
0.355,-0.777,0.279
0.321,-0.713,0.356
0.302,-0.691,0.493
0.273,-0.673,0.575
0.244,-0.651,0.63
0.205,-0.619,0.665
0.163,-0.577,0.679
0.143,-0.567,0.691
0.13,-0.552,0.696
0.125,-0.544,0.669
0.154,-0.552,0.628
0.211,-0.556,0.576
0.221,-0.521,0.555
0.186,-0.488,0.492
0.115,-0.444,0.464
0.044,-0.43,0.486
-0.051,-0.404,0.546
-0.042,-0.359,0.763
-0.059,-0.283,0.81
-0.107,-0.21,0.958
-0.007,-0.211,1.19
-0.086,-0.192,1.135
-0.152,-0.167,1.058
-0.108,-0.15,1.081
-0.117,-0.251,1.091
-0.077,-0.308,1.133
0.019,-0.308,1.148
0.206,-0.344,1.098
0.255,-0.379,1.049
0.264,-0.378,0.995
0.234,-0.386,0.917
0.083,-0.258,0.889
0.135,-0.24,0.935
0.082,-0.18,0.938
-0.001,-0.176,0.986
-0.081,-0.177,1.113
-0.28,-0.729,1.555
-0.499,-0.854,1.97
-0.391,-0.734,2.012
-0.118,-0.29,1.816
0.193,0.02,1.549
0.387,0.052,1.194
0.333,0.017,0.908
0.096,-0.057,0.768
-0.118,-0.095,0.778
-0.263,-0.218,0.765
-0.267,-0.282,0.703
-0.173,-0.315,0.702
-0.1,-0.32,0.749
0.021,-0.335,0.829
0.111,-0.356,0.854
0.122,-0.39,0.864
0.11,-0.41,0.867
0.104,-0.431,0.886
0.103,-0.465,0.914
0.007,-0.529,1.132
-0.04,-0.527,1.24
0.005,-0.44,1.222
0.1,-0.389,1.155
0.195,-0.278,1.123
0.252,-0.176,1.044
0.215,-0.144,0.994
0.132,-0.191,0.891
0.045,-0.246,0.836
-0.053,-0.329,0.814
-0.079,-0.397,0.851
-0.058,-0.446,0.919
-0.002,-0.468,0.964
0.041,-0.484,0.976
0.056,-0.466,0.971
0.056,-0.44,0.961
0.055,-0.397,0.944
0.051,-0.375,0.929
0.05,-0.353,0.919
0.046,-0.346,0.909
0.041,-0.345,0.903
0.04,-0.353,0.904
0.039,-0.359,0.905
0.036,-0.377,0.908
0.04,-0.382,0.911
0.043,-0.381,0.921
0.042,-0.379,0.947
0.043,-0.385,0.963
0.046,-0.386,0.981
0.057,-0.386,0.985
0.055,-0.383,0.978
0.051,-0.385,0.977
0.051,-0.39,0.987
0.068,-0.396,0.99
0.078,-0.398,0.957
0.081,-0.402,0.933
0.084,-0.397,0.9
0.084,-0.396,0.882
0.08,-0.396,0.869
0.075,-0.389,0.858
0.056,-0.382,0.862
0.034,-0.252,0.868
0.018,-0.365,0.879
0.01,-0.366,0.892
0.004,-0.366,0.896
0.006,-0.38,0.917
0.008,-0.39,0.938
0.006,-0.396,0.956
0.005,-0.391,0.97
0.003,-0.388,0.972
0.011,-0.386,0.97
0.025,-0.388,0.966
0.034,-0.4,0.967
0.05,-0.4,0.966
0.056,-0.396,0.964
0.059,-0.383,0.95
0.066,-0.373,0.933
0.072,-0.37,0.911
0.072,-0.374,0.906
0.071,-0.381,0.902
0.072,-0.395,0.89
0.07,-0.407,0.879
0.072,-0.419,0.876
0.08,-0.433,0.885
0.083,-0.443,0.904
0.084,-0.434,0.929
0.085,-0.416,0.95
